Model,Accuracy without Outlier Removal,Outlier Removal. (Treshhold=0.02),Outlier Removal. (Treshhold=0.04),Outlier Removal. (Treshhold=0.06),Outlier Removal. (Treshhold=0.08)
lightgbm,0.7196,0.7324,0.7281,0.7181,0.7305
gbc,0.7093,0.7049,0.705,0.7223,0.7103
ada,0.676,0.6847,0.6935,0.7021,0.6909
rf,0.6697,0.6661,0.6786,0.678,0.6857
et,0.6574,0.6609,0.6782,0.6641,0.6771
dt,0.6499,0.6386,0.6564,0.6553,0.6539
lr,0.6139,0.6152,0.6035,0.6266,0.6048
knn,0.6135,0.6398,0.6572,0.6342,0.6492
ridge,0.6091,0.5994,0.6039,0.611,0.6022
nb,0.5283,0.485,0.4823,0.5137,0.5962
svm,0.5041,0.5044,0.5046,0.4947,0.5157
dummy,0.5026,0.515,0.5177,0.5027,0.5006
qda,0.4986,0.5073,0.521,0.5082,0.5075
,,,,0.3588,
